year,eccentricity,semi_major_axis_au,semi_minor_axis_au,mean_distance_au,true_anomaly_rad,heliocentric_x_au,heliocentric_y_au,heliocentric_z_au,orbital_speed_m_s,equilibrium_temp_c,climate_temp_c,phase
0.0,0.0585,1.0,0.9982874085152031,0.9415,0.0,0.883,0.0,0.0,31581.181967167864,-11.337978663848446,14.918697807033038,Interglacial
83.40283569641367,0.058499706507829034,1.0,0.9982874257139063,0.941501199647696,0.005901672259819719,0.8829850970685956,8.676282408108618e-06,0.005556392483779748,31581.143950799637,-11.338145462514433,14.93649996449248,Interglacial
166.80567139282735,0.05849882603924323,1.0,0.9982874773090317,0.9415047984864754,0.011803300333637185,0.8829403889735483,3.470165101801636e-05,0.011112551685036507,31581.029905307132,-11.33864584209664,14.953672074678448,Interglacial
250.20850708924104,0.05849735861802369,1.0,0.9982875632976274,0.9415107962034284,0.017704840040836903,0.8828658778122624,7.806567134988765e-05,0.01666824438451333,31580.83984152626,-11.339479753350986,14.970209846476505,Interglacial
333.6113427856547,0.05849530428380483,1.0,0.9982876836747737,0.9415191922770914,0.02360624721157573,0.8827615670801002,0.00013875095714798818,0.022223237489429636,31580.57377751469,-11.340647114214335,14.986109116736289,Interglacial
417.01417848206836,0.058492663092073335,1.0,0.9982878384335838,0.9415299859775242,0.02950747769216603,0.8826274616699151,0.0002167331771940899,0.02777729809657984,31580.23173854874,-11.342147809819778,15.0,Interglacial
500.4170141784821,0.05848943511416659,1.0,0.9982880275652041,0.9415431763664212,0.03540848735045531,0.8824635678713988,0.00031198106484107724,0.03333019355526493,31579.813757118773,-11.343981692517957,15.0,Interglacial
583.8198498748957,0.058485620437270784,1.0,0.9982882510588149,0.9415587622972517,0.041309232081201075,0.8822698933702418,0.00042445643026159884,0.0388816915300014,31579.3198729235,-11.346148581905197,15.0,Interglacial
667.2226855713094,0.05848121916441845,1.0,0.9982885089016318,0.9415767424154319,0.04720966781143968,0.8820464472471068,0.000554114175405146,0.04443156006295219,31578.750132862933,-11.348648264856593,15.0,Interglacial
750.6255212677231,0.05847623141448571,1.0,0.9982888010789059,0.941597115158529,0.05310975050584819,0.8817932399764181,0.000700902311655481,0.04997956763602505,31578.104591030056,-11.35148049556642,15.0,Interglacial
834.0283569641367,0.058470657322188924,1.0,0.9982891275739264,0.9416198787564956,0.059009436172097605,0.8815102834249643,0.0008647619801788897,0.05552548323258327,31577.383308701214,-11.354644995593787,15.0,Interglacial
917.4311926605504,0.058464497038081084,1.0,0.9982894883680206,0.9416450312319359,0.06490868086619708,0.8811975908503178,0.0010456274749522962,0.06106907639871521,31576.586354325253,-11.358141453914754,15.0,Interglacial
1000.8340283569642,0.058457750728547656,1.0,0.998289883440556,0.9416725704004014,0.070807440697827,0.8808551768990669,0.0012434262684588397,0.0666101173040081,31575.713803511433,-11.361969526980431,15.0,Interglacial
1084.2368640533778,0.058450418575801966,1.0,0.9982903127689428,0.9417024938707206,0.07670567183566042,0.8804830576048681,0.0014580790400371088,0.07214837680177376,31574.765739015987,-11.36612883878098,15.0,Interglacial
1167.6396997497914,0.058442500777880275,1.0,0.9982907763286344,0.9417347990453551,0.08260333051267155,0.8800812503863106,0.0016894997068688201,0.07768362648867291,31573.74225072751,-11.370618980915992,15.0,Interglacial
1251.0425354462052,0.0584339975486363,1.0,0.9982912740931306,0.9417694831207912,0.08850037303143,0.8796497740446029,0.0019375954575883397,0.08321563876368658,31572.643435651025,-11.375439512670425,15.0,Interglacial
1334.4453711426188,0.058424909117735346,1.0,0.9982918060339794,0.9418065430879586,0.09439675576937945,0.8791886487610733,0.0022022667884960693,0.08874418688638264,31571.469397890873,-11.380589961096803,15.0,Interglacial
1417.8482068390324,0.058415235730648066,1.0,0.9982923721207795,0.9418459757326815,0.10029243518410048,0.878697896094492,0.0024834075423564024,0.0942690450344279,31570.2202486323,-11.386069821103206,15.0,Interglacial
1501.2510425354462,0.05840497764864363,1.0,0.9982929723211826,0.9418877776361595,0.10618736781855516,0.8781775389782129,0.0027809049497595547,0.0997899883602948,31568.89610612184,-11.391878555547237,15.0,Interglacial
